176698,red,MARQUES DE CACERES vino tinto reserva DO rioja botella 75 cl,11.5,€,75.0,cl,1.0
176701,red,RAMON BILBAO CRIANZA vino tinto do rioja botella 75 cl,9.25,€,75.0,cl,5.0
112887,red,CASTILLO DE VELASCO vino tinto envase 1 lt,0.95,€,1.0,lt,1.0
178251,red,AZPILICUETA vino tinto crianza DO rioja botella 75 cl,7.99,€,75.0,cl,5.0
45245,red,VIÑAS DEL VERO vino tinto D.O. somontano botella 75cl,5.25,€,0.75,l,NaN
84588,red,PUERTA DE ALCALÁ vino tinto crianza DO Madrid botella 75 cl,3.79,€,75.0,cl,NaN
181910,red,BERBERANA vino tinto t&t botella 75 cl,2.29,€,75.0,cl,NaN
67977,red,ALTOS DE TAMARON vino tinto roble DO Ribera del Duero botella 75 cl,5.39,€,75.0,cl,NaN
186009,red,BAJOZ ROBLE TORO vino tinto botella 75 cl,3.99,€,75.0,cl,NaN
185494,red,PATERNINA vino tinto reserva DO rioja botella 75 cl,7.99,€,75.0,cl,5.0
137102,red,FAUSTINO RIVERO vino tinto joven DO rioja botella 75 cl,3.5,€,75.0,cl,NaN
183584,red,PALACIO DE ALCANTARA vino tinto PA 20 botella 75 cl,4.89,€,75.0,cl,NaN
183585,red,PALACIO DE ALCANTARA vino tinto PA 40 botella 75 cl,9.79,€,75.0,cl,NaN
183752,red,PALACIO DE ALCANTARA vino tinto PA 30 botella 75 cl,6.85,€,75.0,cl,NaN
45963,red,PUERTA DE ALCALÁ vino tinto DO Madrid botella 75 cl,2.75,€,75.0,cl,3.6666666666666665
187084,red,MELIOR DE MATARROMERA vino tinto roble DO Ribera del Duero botella 75 cl,8.1,€,75.0,cl,NaN
189059,red,BARON DE LEY vino tinto do rioja botella 75 cl,9.4,€,75.0,cl,NaN
218564,red,FAUSTINO RIVERO vino tinto DO Utiel Requena botella 75 cl,3.99,€,75.0,cl,5.0
16224,red,ALBALI vino tinto DO Valdepeñas botella 75 cl,2.79,€,75.0,cl,NaN
187085,red,MATARROMERA vino tinto crianza 2013 DO Ribera del Duero botella 75 cl,20.6,€,75.0,cl,NaN
187106,red,GLORIOSO vino tinto DO Rioja botella 75 cl,6.5,€,75.0,cl,NaN
63955,red,CERCEÑO vino tinto DO Toro botella 75 cl,3.2,€,75.0,cl,NaN
221712,red,BERONIA vino tinto DO Rioja botella 75 cl,13.2,€,75.0,cl,NaN
225578,red,HABLA DE LA TIERRA vino tinto botella 75 cl,6.99,€,75.0,cl,NaN
222265,red,RIBERA DE ALGODOR vino tinto crianza DO Castilla la Mancha botella 75 cl,1.45,€,75.0,cl,4.75
222266,red,SEÑORIO DE ONDAS vino tinto roble DO Toro botella 75 cl,2.65,€,75.0,cl,4.0
239843,red,MAYOR DE CASTILLA vino tinto botella 75 cl,2.99,€,75.0,cl,NaN
59954,red,PUERTA DE ALCALA vino tinto DO Madrid botella 75 cl,4.69,€,75.0,cl,NaN
246912,red,FINCA MONCLOA vino tinto Do Cádiz botella 75 cl,16.25,€,75.0,cl,NaN
250401,red,MARQUÉS DE LA CONCORDIA vino tinto DO Rioja botella 75 cl,6.99,€,75.0,cl,5.0
245763,red,BERONIA vino tinto DO Rioja botella 37.5 cl,4.25,€,37.5,cl,NaN
712,white,LOS MOLINOS vino blanco verdejo DO Valdepeñas botella 75 cl,1.96,€,75.0,cl,NaN
716,white,CUMBRES DE GREDOS vino blanco envase 1 lt,1.45,€,1.0,lt,NaN
12931,white,CASTILLO DE VELASCO vino blanco botella 75 cl,0.99,€,75.0,cl,NaN
17789,white,ORBALLO vino blanco albariño DO Rias Baixas botella 75 cl,6.59,€,75.0,cl,NaN
46217,white,BLUME vino blanco DO Rueda botella 75 cl,3.49,€,75.0,cl,NaN
51150,white,MONTE XIABRE vino blanco albariño DO Rias Baixas botella 75 cl,5.29,€,75.0,cl,NaN
59365,white,BACH EXTRISIMO vino blanco semidulce DO Penedes botella 75 cl,4.35,€,75.0,cl,5.0
70959,white,DIAMANTE Vino blanco semidulce DO Rioja 75 cl,3.99,€,75.0,cl,5.0
77654,white,SEÑORIO DE ONDAS Vino blanco semidulce DO Rioja 75 cl,2.35,€,75.0,cl,5.0
79739,white,CASTILLO DE VELASCO vino blanco garrafa 2 lt,2.36,€,2.0,lt,NaN
102899,white,BLUME vino blanco joven DO Rueda botella 75 cl,4.25,€,75.0,cl,NaN
102933,white,VIÑA SOL vino blanco DO Cataluña botella 75 cl,5.55,€,75.0,cl,NaN
119552,white,PESCADOR CASTILLO DE PERELADA vino blanco botella 75 cl,3.99,€,75.0,cl,5.0
124448,white,SOLEILL DE FLIX vino blanco semidulce DO Penedes botella 75 cl,2.59,€,75.0,cl,4.5
131771,white,VIÑA COSTEIRA vino blanco DO Ribeiro botella 75 cl,5.75,€,75.0,cl,NaN
132500,white,PROTOS vino blanco verdejo DO Rueda botella 75 cl,6.99,€,75.0,cl,NaN
158173,white,RUEDA CUNE vino blanco verdejo botella 75 cl,5.2,€,75.0,cl,NaN
161480,white,EL COTO vino blanco rioja botella 75 cl,3.85,€,75.0,cl,NaN
112888,white,CASTILLO DE VELASCO vino blanco envase 1 lt,0.95,€,1.0,lt,NaN
127644,white,VEGA DEL BARÓN vino blanco verdejo DO Rueda botella 75 cl,2.19,€,75.0,cl,5.0
181011,white,ETCETERA vino blanco seco DO Rueda botella 75 cl,4.5,€,75.0,cl,NaN
26585,white,VEGA DEL BARÓN vino blanco DO Rueda botella 75 cl,1.99,€,75.0,cl,4.5
154918,white,DON SIMON vino blanco envase 1 lt,1.45,€,1.0,lt,NaN
205914,white,BERONIA RUEDA VERDEJO vino blanco botella 75 cl,7.5,€,75.0,cl,NaN
209608,white,VIÑA ALBALI vino blanco verdejo botella 75 cl,2.69,€,75.0,cl,5.0
187037,white,VIÑAS DEL VERO vino blanco DO Somontano botella 75 cl,5.25,€,75.0,cl,5.0
207808,white,SEÑORIO DE AYERBE vino chardonnay Do Castilla botella 75 cl,1.99,€,75.0,cl,NaN
208412,white,CONDOMINIUM vino blanco verdejo frizzante botella 75 cl,2.99,€,75.0,cl,4.0
187127,white,VELITERRA vino blanco verdejo DO Rueda botella 75 cl,3.2,€,75.0,cl,NaN
119289,white,EMINA vino blanco verdejo DO Ribera del Duero botella 75 cl,5.49,€,75.0,cl,NaN
105588,white,CUATRO RAYAS vino blanco verdejo DO Rueda botella 75 cl,4.95,€,75.0,cl,4.0
224487,white,FAUSTINO RIVERO vino blanco verdejo Do Castilla botella 75 cl,3.25,€,75.0,cl,1.0
235782,white,FAUSTINO RIVERO vino blanco semidulce Do Castilla botella 75 cl,3.25,€,75.0,cl,5.0
235904,white,CHANGYU vino blanco noble dragón riesling botella 75 cl,8.95,€,75.0,cl,NaN
246947,white,DON LUCIANO vino espumoso blue moscato botella 75 cl,2.25,€,75.0,cl,NaN
247002,white,DON SIMON vino blanco pack 3 unidades 180 ml,0.95,€,180.0,ml,NaN
266356,white,FAUSTINO RIVERO vino blanco verdejo frizzante botella 75 cl,3.75,€,75.0,cl,NaN
266350,white,FAUSTINO RIVERO vino blanco afrutado botella 75 cl,3.25,€,75.0,cl,NaN
13106,rosé,VIÑA ARDANCHE vino rosado DO Navarra botella 75 cl,1.69,€,75.0,cl,NaN
67214,rosé,LA ROVERE vino rosado lambrusco botella 75 cl,2.49,€,75.0,cl,NaN
85255,rosé,DANTE vino rosado lambrusco botella 75 cl,1.79,€,75.0,cl,NaN
127645,rosé,SEÑORIO DE ONDAS vino rosado DO Rioja botella 75 cl,2.29,€,75.0,cl,1.0
144629,rosé,LAMBRUSCO FLAMINIA vino rosado botella 75 cl,1.99,€,75.0,cl,NaN
54991,rosé,PEÑASCAL vino rosado de aguja botella 75 cl,3.59,€,75.0,cl,5.0
189690,rosé,PEÑASOL vino rosado envase 1 lt,1.49,€,1.0,lt,NaN
187038,rosé,VIÑAS DEL VERO vino rosado botella 75 cl,5.25,€,75.0,cl,NaN
187108,rosé,VIÑATORONDOS vino rosado DO Cigales botella 75 cl,3.49,€,75.0,cl,NaN
710,rosé,LOS MOLINOS vino rosado botella 75 cl,1.96,€,75.0,cl,NaN
